title,tradeAmount,averageStar,wishedCount,quantity,AverageDiscountPrice,MinDiscountPrice,MaxDiscountPrice
MEILLY DOLPHIN 2023 New Snow Wear Winter Coat for Women Down Jacket Warm Casual Loose Hooded Winter Women Jacket Long Parkas,390 sold,4.8,833,14568,29.869999999999997,26.97,29.97
2023 new Korean Coat with large fur collar for Puffer Women cotton Coat hooded parka winter loose jacket women Short down jacket,18 sold,5.0,158,7962,30.3225,28.28,30.43
Vintage New Chinese Style Sweet Y2k Parkas Coats Floral Women Outerwear O Neck Thick Winter Jackets Streetwear Chic Parka,9 sold,1.0,31,487,23.19,23.19,23.19
2023 New Winter Coat Women Cotton Jacket Zipper Loose Coats Female Solid Thick Parka Windproof Jackets Outwear Black Clothes,12 sold,5.0,62,3004,22.401875,21.23,22.48
Women's Winter Parka 2023 Splicing Temperament Fashion Down Cotton Jacket Ladies Coat Knitting Appear Thin Hooded Female Jacket,117 sold,4.7,411,327,22.76777777777778,20.83,23.01
Winter Imitation Fox Hair Women Down Jacket 2023 Fashion Warm Thicke High Quality Women Down Jacket Overcoat Women Parker Puffer,0 sold,0.0,23,2995,31.72,31.72,31.72
Men's Winter Jacket New Down Cotton Thickened High Quality Warm Zipper Hooded Outer Korean Fashion Brand Casual Woman Male Coat,5 sold,0.0,16,495,91.73999999999998,91.74,91.74
2023 Winter New Women Parkas Mid Length Standing Collar Down Cotton Overcoat Female Casual Thick Warm Windproof Jackets Ladies,16 sold,5.0,26,784,23.059999999999995,23.06,23.06
Winter Coat Down Jacket Women short style 2023 new shiny and fashionable slim hooded jacket for women 2211BXR,52 sold,4.6,225,15933,23.03875,21.07,23.17
2023 Winter New Jackets Elegant Mother Parkas Padded Jacket Thick Down Padded Jacket Hooded Cotton Coat Women's  Mid-Length Park,5 sold,5.0,18,5979,23.688666666666666,20.59,23.91
New Winter Warm Fleece Jacket Hooded Multiple Pockets Red Coat Casual Polar Jacket Cold-Proof Thick Overcoat Plus Size Outwear,2 sold,0.0,9,5596,32.122571428571426,26.77,32.28
Parka Autumn Winter Jacket Women Clothes Vintage Warm Coat Female Women's Down Cotton Jacket Warm Thick Long Parkas Oversized,64 sold,4.1,621,129,31.360000000000003,30.42,32.59
2023 New Winter Women Mid-long Parkas Jackets Casual Thick Warm Hooded Pattern Coat Female Winter Outwear Jacket parkas,500+ sold,4.8,1780,97,22.763928571428572,21.15,26.55
